地区,年份,标准煤,能源
北京,2015,321.435,原煤
北京,2016,227.1474,原煤
北京,2017,182.1465,原煤
北京,2018,125.7168,原煤
北京,2019,25.7148,原煤
北京,2020,0,原煤
北京,2021,0,原煤
天津,2015,0,原煤
天津,2016,0,原煤
天津,2017,0,原煤
天津,2018,0,原煤
天津,2019,0,原煤
天津,2020,0,原煤
天津,2021,0,原煤
河北,2015,5312.2491,原煤
河北,2016,4631.5212,原煤
河北,2017,4300.086,原煤
河北,2018,3970.7937,原煤
河北,2019,3625.0725,原煤
河北,2020,3553.6425,原煤
河北,2021,3316.4949,原煤
山西,2015,69058.524,原煤
山西,2016,59318.3292,原煤
山西,2017,62301.9603,原煤
山西,2018,66199.1811,原煤
山西,2019,70569.2685,原煤
山西,2020,77077.2558,原煤
山西,2021,85963.1478,原煤
内蒙古,2015,64970.5851,原煤
内蒙古,2016,60400.4937,原煤
内蒙古,2017,64713.4371,原煤
内蒙古,2018,70788.5586,原煤
内蒙古,2019,77907.2724,原煤
内蒙古,2020,73252.1793,原煤
内蒙古,2021,76422.957,原煤
辽宁,2015,3394.3536,原煤
辽宁,2016,2978.631,原煤
辽宁,2017,2592.909,原煤
辽宁,2018,2430.7629,原煤
辽宁,2019,2351.4756,原煤
辽宁,2020,2235.0447,原煤
辽宁,2021,2205.7584,原煤
吉林,2015,1881.4662,原煤
吉林,2016,1202.8812,原煤
吉林,2017,1170.7377,原煤
吉林,2018,1157.166,原煤
吉林,2019,897.1608,原煤
吉林,2020,742.872,原煤
吉林,2021,646.4415,原煤
黑龙江,2015,4679.3793,原煤
黑龙江,2016,4207.227,原煤
黑龙江,2017,4425.8028,原煤
黑龙江,2018,4380.8019,原煤
黑龙江,2019,3850.7913,原煤
黑龙江,2020,3970.0794,原煤
黑龙江,2021,4297.2288,原煤
上海,2015,0,原煤
上海,2016,0,原煤
上海,2017,0,原煤
上海,2018,0,原煤
上海,2019,0,原煤
上海,2020,0,原煤
上海,2021,0,原煤
江苏,2015,1370.7417,原煤
江苏,2016,977.1624,原煤
江苏,2017,912.8754,原煤
江苏,2018,890.0178,原煤
江苏,2019,787.8729,原煤
江苏,2020,730.0146,原煤
江苏,2021,667.1562,原煤
浙江,2015,0,原煤
浙江,2016,0,原煤
