年份,能源消费总量,原煤,原油,天然气,一次电力及其他能源,水电,核电
1980,60725,72.2,20.7,3.1,4,4,0
1981,59447,72.7,20,2.8,4.5,4.5,0
1982,62067,73.7,18.9,2.5,4.9,4.9,0
1983,66040,74.2,18.1,2.4,5.3,5.3,0
1984,70904,75.3,17.4,2.4,4.9,4.9,0
1985,76682,75.8,17.1,2.2,4.9,4.9,0
1986,80850,75.8,17.2,2.3,4.7,4.7,0
1987,86632,76.2,17,2.1,4.7,4.7,0
1988,92997,76.1,17.1,2.1,4.7,4.7,0
1989,96934,76.1,17.1,2.1,4.7,4.7,0
1990,98703,76.2,16.6,2.1,5.1,5.1,0
1991,103783,76.1,17.1,2,4.8,4.8,0
1992,109170,75.7,17.5,1.9,4.9,4.9,0
1993,115993,74.7,18.2,1.9,5.2,5.1,0.1
1994,122737,75,17.4,1.9,5.7,5.2,0.5
1995,131176,74.6,17.5,1.8,6.1,5.7,0.4
1996,135192,73.5,18.7,1.8,6,5.6,0.4
1997,135909,71.4,20.4,1.8,6.4,5.9,0.4
1998,136184,70.9,20.8,1.8,6.5,6.1,0.4
1999,140569,70.6,21.5,2,5.9,5.5,0.4
2000,146964,68.5,22,2.2,7.3,5.7,0.4
2001,155547,68,21.2,2.4,8.4,6.7,0.4
2002,169577,68.5,21,2.3,8.2,6.3,0.5
2003,197083,70.2,20.1,2.3,7.4,5.3,0.8
2004,230281,70.2,19.9,2.3,7.6,5.5,0.8
2005,261369,72.4,17.8,2.4,7.4,5.4,0.7
2006,286467,72.4,17.5,2.7,7.4,5.4,0.7
2007,311442,72.5,17,3,7.5,5.4,0.7
2008,320611,71.5,16.7,3.4,8.4,6.1,0.7
2009,336126,71.6,16.4,3.5,8.5,6,0.7
2010,360648,69.2,17.4,4,9.4,6.4,0.7
2011,387043,70.2,16.8,4.6,8.4,5.7,0.7
2012,402138,68.5,17,4.8,9.7,6.8,0.8
2013,416913,67.4,17.1,5.3,10.2,6.9,0.8
2014,428334,65.8,17.3,5.6,11.3,7.7,1
2015,434113,63.8,18.4,5.8,12,8,1.2
2016,441492,62.2,18.7,6.1,13,8.2,1.5
2017,455827,60.6,18.9,6.9,13.6,7.9,1.6
2018,471925,59,18.9,7.6,14.5,7.8,1.9
2019,487488,57.7,19,8,15.3,8,2.1
2020,498314,56.9,18.8,8.4,15.9,8.1,2.2
2021,525896,55.9,18.6,8.8,16.7,7.5,2.3
