地区,年份,原煤生产量,原油生产量,天然气生产量,发电量
北京,2015,450,0,16.88,421
北京,2016,318,0,21.68,434
北京,2017,255,0,15.41,397
北京,2018,176,0,17.28,451
北京,2019,36,0,14.55,464
北京,2020,0,0,19.98,457
北京,2021,0,0,4.28,473
天津,2015,0,3496.8,20.54,623
天津,2016,0,3273.3,19.69,618
天津,2017,0,3102.4,21.5,638
天津,2018,0,3085.5,33.94,725
天津,2019,0,3111.9,34.9,733
天津,2020,0,3242.2,36.31,772
天津,2021,0,3407,39.02,800
河北,2015,7437,580.1,10.43,2498
河北,2016,6484,546,7.78,2631
河北,2017,6020,539.1,7.39,2983
河北,2018,5559,537.2,6.15,3229
河北,2019,5075,550,5.84,3298
河北,2020,4975,543.5,5.61,3425
河北,2021,4643,544.6,5.28,3513
山西,2015,96680,0,43.08,2449
山西,2016,83044,0,43.22,2535
山西,2017,87221,0,46.76,2861
山西,2018,92677,0,53.06,3203
山西,2019,98795,0,82.55,3362
山西,2020,107906,0,85.93,3504
山西,2021,120346,0,123.35,3926
内蒙古,2015,90957,45.8,9.24,3929
内蒙古,2016,84559,44.9,0.27,3950
内蒙古,2017,90597,12.2,0.19,4413
内蒙古,2018,99102,12,16.07,4961
内蒙古,2019,109068,14.9,22.07,5495
内蒙古,2020,102551,13.6,25.55,5811
内蒙古,2021,106990,42.1,289.75,6120
辽宁,2015,4752,1037.1,6.59,1665
辽宁,2016,4170,1017.3,5.52,1779
辽宁,2017,3630,1044.2,5.11,1844
辽宁,2018,3403,1040.7,5.87,1986
辽宁,2019,3292,1053.3,6.18,2073
辽宁,2020,3129,1049.4,7.37,2135
辽宁,2021,3088,1054.2,7.91,2258
吉林,2015,2634,665.5,20.31,731
吉林,2016,1684,610.7,19.77,760
吉林,2017,1639,420.9,18.58,760
吉林,2018,1620,387.4,18.35,869
吉林,2019,1256,401.9,19.82,946
吉林,2020,1040,404.4,19.81,1019
吉林,2021,905,414.2,21.38,1026
黑龙江,2015,6551,3838.6,35.82,874
黑龙江,2016,5890,3656,38.04,900
黑龙江,2017,6196,3420.3,40.54,954
黑龙江,2018,6133,3224.2,43.54,1047
黑龙江,2019,5391,3090,45.66,1112
黑龙江,2020,5558,3001,46.78,1138
黑龙江,2021,6016,2945.5,50.5,1201
上海,2015,0,6.8,1.88,793
